date,patch,patch_size,treatment,transect/patch/seagrass,time_start,time_end,survey time_min,transect_length,species,total_length_cm,total_number,percent_on_patch
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,bluestriped grunt,6,6,5
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,cottonwick,4,1,5
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,white grunt,4,1,5
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,10,40,4
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,11,48,4
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,12,34,4
2019-06-21,Cooda,,dd,patch rove,14:05,14:15,10,NA,white grunt,17,2,10
2019-06-21,Cooda,,dd,patch rove,14:05,14:15,10,NA,french grunt,3,1000,10
2019-06-21,57,,dd,patch rove,16:05,16:15,10,NA,NA,0,0,0
2019-06-21,Cow,,dd,transect 1,14:45,14:49,4,4,french grunt,3,100,4
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,16,12,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,18,8,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,15,16,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,bluestriped grunt,25,1,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,bluestriped grunt,18,1,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,cottonwick,17,1,
2019-06-24,Calgary,,ft,patch rove,14:50,15:00,10,NA,french grunt,1,15,
2019-06-24,Calgary,,ft,patch rove,14:50,15:00,10,NA,french grunt,2,10,
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,16,5,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,17,5,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,18,10,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,bluestriped grunt,14,1,
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,15,10,100% seagrass
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,17,5,100% seagrass
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,19,5,100% seagrass
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,bluestriped grunt,10,3,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,17,1,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,11,75,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,13,150,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,12,150,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,10,200,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,8,50,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,11,70,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,13,150,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,12,150,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,10,300,
