sampling_period,patch,date,time,treatment,divers,observer,transect,heading,quadrat,syringe_1,syringe_2,shoot_count,distance_patch,core_bag_num,above_ground,below_ground,shoot_bag_num,comments
0,New2,2019-05-21,13:30,natural,"RM, HW",RM,1,90,1,1,3,66,0.1,29,0.856,2.229,28,
0,New2,2019-05-21,13:30,natural,"RM, HW",HW,1,90,2,5,16,104,2.3,25,0.693,1.543,30,
0,New2,2019-05-21,13:30,natural,"RM, HW",RM,1,90,3,18,14,39,4,27,0.562,2.181,24,
0,New2,2019-05-21,13:30,natural,"RM, HW",RM,2,0,1,17,15,105,0.4,26,0.551,3.703,23,
0,New2,2019-05-21,13:30,natural,"RM, HW",HW,2,0,2,8,2,96,5.4,22,0.377,0.829,21,shoot bag went missing
0,New2,2019-05-21,13:30,natural,"RM, HW",RM,2,0,3,4,11,56,6.4,20,0.379,0.656,19,
0,New2,2019-05-21,13:30,natural,"RM, HW",RM,3,180,1,12,6,177,0.3,17,1.597,3.482,18,
0,New2,2019-05-21,13:30,natural,"RM, HW",HW,3,180,2,7,13,78,3.7,15,0.854,0.919,16,
0,New2,2019-05-21,13:30,natural,"RM, HW",HW,3,180,3,10,NA,57,5.6,13,0.678,1.362,14,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",HW,1,90,1,16,13,123,0,T1Q1,0.199,0.765,T1Q1,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,1,90,2,7,3,117,1.2,T1Q2,0.053,2.077,T1Q2,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,1,90,3,5,2,18,2.5,T1Q3,0.023,0.301,T1Q3,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,2,0,1,14,11,100,0.5,T2Q1,0.461,0.957,T2Q1,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",HW,2,0,2,17,18,135,1.2,T2Q2,0.443,0.939,M1,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,2,0,3,4,10,31,2.7,T2Q3,0.107,1.119,T2Q3,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",HW,3,180,1,6,12,140,0.3,T3Q1,0.434,1.716,T3Q1,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,3,180,2,8,9,235,2,T3Q2,0.632,3.098,T3Q2,
0,Montreal,2019-05-22,10:30,zero,"RM, HW",RM,3,180,3,15,1,59,3.6,T3Q3,0.217,1.289,T3Q3,
0,94North,2019-05-22,13:30,ft,"RM, HW",HW,1,90,1,15,9,165,0.1,T1Q1,0.729,2.084,T1Q1,"seagrass not put in oven, will be put in with next batch"
0,94North,2019-05-22,13:30,ft,"RM, HW",RM,1,90,2,10,14,180,1.1,T1Q2,0.79,0.711,T1Q2,
0,94North,2019-05-22,13:30,ft,"RM, HW",HW,1,90,3,6,16,108,2.6,T1Q3,0.338,1.695,T1Q3,"seagrass not put in oven, will be put in with next batch"
0,94North,2019-05-22,13:30,ft,"RM, HW",HW,2,0,1,4,5,186,0.3,T2Q1,0.776,4.265,T2Q1,
0,94North,2019-05-22,13:30,ft,"RM, HW",RM,2,0,2,13,1,171,1.6,T2Q2,0.405,3.801,T2Q2,
0,94North,2019-05-22,13:30,ft,"RM, HW",RM,2,0,3,2,7,58,3,T2Q3,0.068,2.311,T2Q3,
0,94North,2019-05-22,13:30,ft,"RM, HW",RM,3,180,1,18,17,224,0.1,T3Q1,1.162,2.155,T3Q1,
0,94North,2019-05-22,13:30,ft,"RM, HW",HW,3,180,2,8,3,243,1.9,T3Q2,0.901,1.782,T3Q2,"T3Q2 and T3Q3 were put originally put in the opposite bags, bags were relabelled correctly at surface"
0,94North,2019-05-22,13:30,ft,"RM, HW",HW,3,180,3,11,12,189,3.6,T3Q3,1.408,1.872,T3Q3,"T3Q2 and T3Q3 were put originally put in the opposite bags, bags were relabelled correctly at surface"
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",HW,1,90,1,14,11,203,0.1,T1Q1,1.303,2.893,T1Q1,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",RM,1,90,2,12,13,217,1.4,T1Q2,0.985,7.208,T1Q2,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",RM,1,90,3,15,17,114,3.4,T1Q3,0.452,6.988,T1Q3,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",HW,2,0,1,7,9,454,0,T2Q1,2.903,1.145,T2Q1,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",RM,2,0,2,8,1,398,1,T2Q2,3.197,3.844,T2Q2,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",RM,2,0,3,18,3,120,2.5,T2Q3,0.571,2.795,T2Q3,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",HW,3,180,1,5,2,193,0.1,T3Q1,1.5,2.14,T3Q1,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",RM,3,180,2,6,4,148,1.4,T3Q2,1.006,3.793,T3Q2,
0,94Urchin,2019-05-23,11:00,dd,"RM, HW",HW,3,180,3,10,16,81,3.1,T3Q3,0.353,4.191,T3Q3,
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,1,90,1,5,4,161,0,T1Q1,1.7,3.867,T1Q1,
0,Cow,2019-05-24,9:30,dd,"RM, HW",HW,1,90,2,7,2,120,0.75,T1Q2,0.482,0.736,T1Q2,
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,1,90,3,16,12,44,2.2,T1Q3,0.312,1.482,T1Q3,
0,Cow,2019-05-24,9:30,dd,"RM, HW",HW,2,0,1,18,13,95,0,T2Q1,1.043,1.405,T2Q1,"a/b biomass was accidentally placed in same bucket as T2Q3 before acid washing- attempted to separate the two into roughly the correct amounts, although weights may be slightly off"
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,2,0,2,1,6,77,0.9,T2Q2,0.755,2.231,T2Q2,
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,2,0,3,3,11,29,2.4,T2Q3,0.083,0.273,T2Q3,"a/b biomass was accidentally placed in same bucket as T2Q1 before acid washing- attempted to separate the two into roughly the correct amounts, although weights may be slightly off"
0,Cow,2019-05-24,9:30,dd,"RM, HW",HW,3,180,1,14,8,158,0,T3Q1,1.589,3.047,T3Q1,
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,3,180,2,10,9,156,1.5,T3Q2,1.671,2.364,T3Q2,
0,Cow,2019-05-24,9:30,dd,"RM, HW",RM,3,180,3,15,17,67,3,T3Q3,0.63,1.284,T3Q3,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,1,90,1,8,17,147,0.1,T1Q1,0.688,5.083,T1Q1,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",HW,1,90,2,15,14,175,0.9,T1Q2,0.578,2.634,T1Q2,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,1,90,3,7,11,94,2.4,T1Q3,0.215,3.352,T1Q3,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",HW,2,0,1,16,5,277,0,T2Q1,1.153,2.89,T2Q1,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,2,0,2,18,10,198,0.6,T2Q2,0.68,4.669,T2Q2,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,2,0,3,3,12,91,2.5,T2Q3,0.289,2.12,T2Q3,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,3,180,1,1,2,319,0,T3Q1,1.355,3.76,T3Q1,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",HW,3,180,2,9,4,188,0.6,T3Q2,0.582,6.988,T3Q2,
0,Damsel,2019-05-24,12:00,natural,"RM, HW",RM,3,180,3,13,6,212,2.3,T3Q3,1.042,4.449,T3Q3,
0,E2,2019-05-24,15:30,zero,"RM, HW",RM,1,90,1,7,8,198,0.1,36,0.477,1.836,B,
0,E2,2019-05-24,15:30,zero,"RM, HW",HW,1,90,2,16,2,221,1.3,3,0.972,1.583,A,
0,E2,2019-05-24,15:30,zero,"RM, HW",RM,1,90,3,10,17,152,3.4,5,0.306,4.808,C,
0,E2,2019-05-24,15:30,zero,"RM, HW",HW,2,0,1,3,13,209,0.2,12,0.922,0.838,2,
0,E2,2019-05-24,15:30,zero,"RM, HW",RM,2,0,2,18,4,219,2.4,7,0.418,5.781,D,
