patch,date,species,total_length_cm,total_number,percent_on_patch,notes,survey_type,time_start,time_end,survey_time_min,transect_length_m
New2,2019/08/20,french,10,300,70,,rove,,,,
New2,2019/08/20,cottonwick,20,18,60,,rove,,,,
New2,2019/08/20,white,22,3,60,,rove,,,,
New2,2019/08/20,juvenile,3,300,70,french,rove,,,,
Damsel,2019/08/05,french,9,400,40,,rove,,,,
Damsel,2019/08/05,french,5,1500,40,,rove,,,,
Damsel,2019/08/05,french,3,1500,40,,rove,,,,
E1,2019/08/06,french,10,800,80,,rove,,,,
78S,2019/08/07,NA,0,0,0,,rove,,,,
Check5,2019/08/12,cottonwick,18,17,20,,rove,,,,
Check5,2019/08/12,white,18,10,80,,rove,,,,
Check5,2019/08/12,white,16,8,20,,rove,,,,
Check5,2019/08/12,juvenile,5,100,10,,rove,,,,
Check5,2019/08/12,juvenile,3,500,100,,rove,,,,
Vancouver,2019/08/12,cottonwick,18,35,30,,rove,,,,
Vancouver,2019/08/12,white,18,1,30,,rove,,,,
Vancouver,2019/08/12,blue-striped,17,8,70,,rove,,,,
119,2019/08/09,juvenile,5,1000,10,,rove,,,,
119,2019/08/09,juvenile,3,500,10,,rove,,,,
Josh,2019/08/12,blue-striped,15,2,95,,rove,,,,
76S,2019/08/14,juvenile,3,10,100,,rove,,,,
76S,2019/08/14,juvenile,2,10,100,,rove,,,,
LS02,2019/08/14,cottonwick,20,9,95,,rove,,,,
LS02,2019/08/14,cottonwick,24,1,95,,rove,,,,
Shit'sCreek,2019/08/15,juvenile,2,800,20,,rove,,,,
Shit'sCreek,2019/08/15,juvenile,5,200,40,,rove,,,,
Shit'sCreek,2019/08/15,cottonwick,18,3,70,,rove,,,,
Shit'sCreek,2019/08/15,white,18,1,90,,rove,,,,
Shit'sCreek,2019/08/15,white,7,3,90,,rove,,,,
96,2019/08/15,juvenile,3,6,95,,rove,,,,
74Tall,2019/08/16,juvenile,3,400,70,,rove,,,,
74Tall,2019/08/16,juvenile,4,100,70,,rove,,,,
85,2019/08/16,white,15,32,80,,rove,,,,
85,2019/08/16,blue-striped,15,1,80,,rove,,,,
85,2019/08/16,juvenile,3,90,90,,rove,,,,
F5Small,2019/06/17,white,16,2,3,,transect,14:15,14:20,5,4
F5Small,2019/06/17,white,17,3,3,,transect,14:15,14:20,5,4
F5Small,2019/06/17,french,2,5,10,,patch rove,14:50,15:00,10,NA
Check3,2019/06/17,cottonwick,35,1,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,cottonwick,38,1,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,cottonwick,22,2,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,blue-striped,18,1,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,french,18,1,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,french,20,1,10,,transect,14:50,14:55,5,5
Check3,2019/06/17,french,22,1,10,,transect,14:50,14:55,5,5
Montreal,2019/06/21,white,21,1,5,,transect,15:25,15:30,5,5
CT15,2019/06/24,cottonwick,20,11,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,cottonwick,40,2,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,cottonwick,21,1,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,cottonwick,22,1,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,cottonwick,26,1,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,french,18,25,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,blue-striped,17,8,6,,transect,14:02,14:08,6,6
CT15,2019/06/24,french,1,700,10,,patch rove,14:10,14:20,10,NA
CT15,2019/06/24,french,2,700,10,,patch rove,14:10,14:20,10,NA
CT15,2019/06/24,french,3,600,10,,patch rove,14:10,14:20,10,NA
Biscuit,2019/06/26,french,16,3,NA,,transect,10:38,10:41,3,3
Biscuit,2019/06/26,french,16,28,10,,seagrass rove,10:53,10:58,5,NA
Biscuit,2019/06/26,cottonwick,15,1,10,,seagrass rove,10:53,10:58,5,NA
E2,2019/06/26,french,3,500,NA,,transect 1,11:20,11:27,7,7
E2,2019/06/26,french,4,250,NA,,transect 1,11:20,11:27,7,7
E2,2019/06/26,french,5,250,NA,,transect 1,11:20,11:27,7,7
E2,2019/06/26,french,10,250,NA,,transect 1,11:20,11:27,7,7
E2,2019/06/26,french,3,500,NA,,transect 2,11:20,11:27,7,7
E2,2019/06/26,french,4,250,NA,,transect 2,11:20,11:27,7,7
E2,2019/06/26,french,5,250,NA,,transect 2,11:20,11:27,7,7
E2,2019/06/26,french,10,250,NA,,transect 2,11:20,11:27,7,7
E2,2019/06/26,cottonwick,16,9,NA,,transect 2,11:20,11:27,7,7
E2,2019/06/26,cottonwick,17,20,NA,,patch rove 2,11:28,11:43,15,NA
E2,2019/06/26,cottonwick,15,2,NA,,seagrass rove 2,11:43,11:53,10,NA
FFA,2019/06/28,french,2,300,10,,transect 1,9:40,9:44,4,4
FFA,2019/06/28,french,2,200,10,,transect 1,9:40,9:44,4,4
FFA,2019/06/28,french,4,100,10,,transect 1,9:40,9:44,4,4
FFA,2019/06/28,french,14,1,10,,transect 1,9:40,9:44,4,4
