patch,depth,date,tod,patch_perimeter1,patch_perimeter2,patch_perimeter3,patch_perimeter4,patch_perim_remaining,seagrass_perimeter
CT15,4.1,11/05/2019,11:30,27.5,3.5,NA,NA,NA,32.2
Calgary,4.5,11/05/2019,13:30,9.7,1.7,NA,NA,NA,24.4
Vancouver,4.5,11/05/2019,14:00,8.4,5.5,2.9,1.7,NA,30.8
Lakeisha,3.9,12/05/2019,10:30,10.1,NA,NA,NA,NA,19.9
74Tall,2.8,12/05/2019,12:30,13.9,NA,NA,NA,NA,22.3
96,3.4,12/05/2019,15:00,5.8,NA,NA,NA,NA,15.9
Biscuit,3.3,12/05/2019,16:00,8.5,1.8,2.4,7.4,"0.5, 2.2, 4.2, 2.9, 1.7, 1.0, 0.5, 1.6",26.1
Shit'sCreek,3.2,13/06/2019,10:00,20.75,NA,NA,NA,NA,30.5
Damsel,2.8,13/06/2020,14:00,20.2,1.5,2.7,NA,NA,26.4
94Urchin,3.1,13/06/2019,16:30,27.3,NA,NA,NA,NA,33.5
94North,3.2,13/06/2019,15:30,17.52,NA,NA,NA,NA,33.05
Angel2,3.2,13/06/2019,12:30,7.3,2.5,NA,NA,NA,19.3
F5Small,3.6,13/06/2019,11:30,4,NA,NA,NA,NA,10
New2,3.1,14/05/2019,10:00,24,8.1,5.9,NA,NA,41.65
Montreal,3.1,14/05/2019,10:00,15.2,1.8,NA,NA,NA,19.5
Cow,3,14/05/2019,11:00,18,5.4,0.9,NA,NA,20.5
E2,2.8,14/05/2019,11:30,21.8,8.2,5.4,3.4,"3.3, 2.5, 2.4, 2.2, 0.9, 1.8",52.5
Cooda,2.8,14/05/2019,12:30,12.5,NA,NA,NA,NA,18.6
E1,2.7,14/05/2019,14:00,48.9,2.4,2.9,1.3,"1.1, 0.6, 3.35, 1.25, 1.45, 3.3, 2.0, 6.6, 7.9, 1.1, 1.15, 4.0, 6.2, 3.9, 3.75",64.3
IMC,2.7,14/05/2019,15:00,14.9,1.5,1.4,2.1,"8.1, 2.6, 0.9, 2.25",33.1
119,3.1,15/05/2019,10:00,16.75,NA,NA,NA,NA,25.5
71,3.1,15/05/2019,11:00,39.9,4.15,2.7,NA,NA,62.5
LS02,2.6,15/05/2019,14:30,11,NA,NA,NA,NA,25.9
Check1,3,15/05/2019,15:00,17.8,NA,NA,NA,NA,33.5
57,3.2,15/05/2019,16:00,8,3.3,NA,NA,NA,22.3
90Stop,3.5,17/05/2019,10:00,38,10,2.7,1,"0.7, 0.7, 2.4, 1.8, 1.6, 1.2, 0.5, 0.5",61
76S,3.5,17/05/2019,10:30,9.1,NA,NA,NA,NA,17.8
Check5,3.7,17/05/2019,11:30,15.4,NA,NA,NA,NA,23.6
78S,3.5,17/05/2019,12:30,21,2,2.8,NA,NA,24.1
FFA,3.5,17/05/2019,13:00,12.9,NA,NA,NA,NA,24.8
Josh,3,17/05/2019,14:30,17,NA,NA,NA,NA,29.7
85,2.8,17/05/2019,15:30,19.9,2.3,NA,NA,NA,29.8
NF15,3.6,19/05/2019,11:30,12.55,2.75,2.2,2.2,NA,42
NF17,3.3,19/05/2019,13:00,29.8,3.8,NA,NA,NA,38.3
Check3,3.2,19/05/2020,14:00,12.2,NA,NA,NA,NA,17.9
