sampling_period,patch,date,time,treatment,divers,observer,quad_id,transect,heading,quadrat,shoot_count,distance_patch,above_ground,below_ground,shoot_bag_num,percent_total_n,percent_total_c,total_grunt_nh4_rate,mean_sand_depth,sd_sand_depth,original_cuke_density,final_cuke_density,true_seagrass_area,total_reef_area,log_original_cuke_density,log_final_cuke_density,prop_dd,lat,lon,total_cuke_excretion,patch_size,grunt_pee_m2,cuke_pee_m2,log_grunt_pee_m2,log_cuke_pee_m2,scale_log_og_cukes,scale_log_cukes_final,scale_log_grunt_pee_m2,scale_log_cuke_pee_m2,scale_distance,scale_sand,scale_seagrass_area,scale_reef_area,scale_patch_size,cont_treatment,scale_cont_treatment,mean_blade_height,sd_blade_height,n_blade_height,se_blade_height,shoot_count_offset,above_ground_offset,below_ground_offset,mean_height_offset,sd_height_offset,percent_total_n_offset,observer_offset,shoot_prop,height_prop,above_prop,below_prop,percent_total_n_prop
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,1_1,1,60,1,166,0.1,NA,NA,T1Q1,NA,NA,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-1.0272476357665472,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,11.58,1.6664333169977126,5,0.7452516353554682,66,0.856,2.229,14.200000000000001,5.815066637623339,0.01734,RM,2.515151515151515,0.8154929577464788,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,1_2,1,60,2,78,0.7,NA,NA,T1Q2,NA,NA,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-0.6773125764498767,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,13.92,1.9097120201747695,5,0.8540491789118468,104,0.693,1.543,10.2,2.063976744055029,0.016040000000000002,HW,0.75,1.3647058823529412,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,1_3,1,60,3,24,2.2,NA,NA,T1Q3,NA,NA,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,0.19752507184179982,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10.22,1.6634301909007183,5,0.7439085965358916,39,0.562,2.181,8.06,2.190433747000808,0.01727,RM,0.6153846153846154,1.2679900744416874,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,2_1,2,330,1,171,0,NA,NA,T2Q1,NA,NA,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-1.0855701456526592,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,11.24,1.2501999840025595,5,0.5591064299397746,105,0.551,3.703,8.56,1.0163660757817528,0.01734,RM,1.6285714285714286,1.3130841121495327,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,2_2,2,330,2,163,4.1,NA,NA,T2Q2,NA,NA,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,1.3056527596779233,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,15.719999999999999,3.44920280644673,5,1.5425303886795876,96,0.377,0.829,NA,NA,0.016040000000000002,HW,1.6979166666666667,NA,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,2_3,2,330,3,40,5.6,NA,NA,T2Q3,NA,NA,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,2.1804904079695997,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10.18,2.2565460332109337,5,1.009158064923429,56,0.379,0.656,8.84,0.7092249290598855,0.01727,RM,0.7142857142857143,1.1515837104072397,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,3_1,3,150,1,117,0.9,NA,NA,T3Q1,NA,NA,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-0.5606675566776532,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,12.4,3.996248240537617,5,1.7871765441612084,177,1.597,3.482,13.98,2.2331591971912803,0.01734,RM,0.6610169491525424,0.8869814020028612,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,3_2,3,150,2,179,3.2,NA,NA,T3Q2,NA,NA,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,0.7807501707029174,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,12.98,3.2851179583083465,5,1.4691494137765564,78,0.854,0.919,10.9,1.2469963913339925,0.016040000000000002,HW,2.2948717948717947,1.1908256880733945,NA,NA,NA
1,New2,2019-07-03,11:30:00,natural,"RM, HW",NA,3_3,3,150,3,107,4.7,NA,NA,T3Q3,NA,NA,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,1.655587818994594,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10.9,1.2806248474865691,5,0.5727128425310538,57,0.678,1.362,10,1.6941074346097416,0.01727,HW,1.8771929824561404,1.09,NA,NA,NA
1,Montreal,2019-07-03,10:00:00,zero,"RM, HW",NA,1_1,1,60,1,260,0.7,NA,NA,T1Q1,NA,NA,1893.169847285691,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-0.6773125764498767,-0.9458782149731615,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,8.92,0.9984988733093293,5,0.44654227123532214,123,0.199,0.765,6.28,1.7441330224498361,0.01856,HW,2.113821138211382,1.4203821656050954,NA,NA,NA
