patch,distance_patch,shoot_count,depth1,depth2,depth3,depth4
Montreal,0.6,209,9,11,7,11
Montreal,1.7,287,8,7,7,9
Montreal,3.2,61,5,4,6,8
Montreal,5.9,0,4,5,6,5
Montreal,7.9,0,5.5,5.5,5.5,11
Montreal,9.9,0,12,12,6,8
94North,0.9,117,11,10,10,9
94North,3.2,179,11,16,17,10
94North,4.7,107,11,9,10,9
94North,6.7,75,12,15,15,12
94North,8.7,77,20,16,19,16
94North,10.7,41,13,13,10,9
94Urchin,0,103,12,8,16,14
94Urchin,1.5,265,14,14,19.5,17
94Urchin,3.3,131,13,15.5,12,12.5
94Urchin,6,94,10,9,9,13
94Urchin,8,165,11,13,7,16
94Urchin,10,60,10,10,9,8
New2,0,141,11,18,28,10
New2,0.7,196,12,15,17,19
New2,2.2,68,16,16.5,15.5,19.5
New2,4.2,68,28,24,21,21
New2,6.2,33,28,21.5,19,28
New2,8.2,24,21.5,23,29,18
E1,0,172,11,9,10,6
E1,4.5,233,16,15,10,18
E1,6,95,12,8,14,7
E1,8.3,43,6,7,11,9.5
E1,10.3,23,9,7,8,9.5
E1,12.3,8,8.5,10,10,13.5
E2,0,337,25,22,13,9
E2,5,139,15,14.5,18.5,17.5
E2,6.5,143,12,15,17,16
E2,8.5,126,19.5,12.5,18,15.5
E2,10.5,43,11,15.5,13.5,10.5
E2,12.5,51,8,10.5,10,12.5
Cow,0,341,11,15,16,21
Cow,0.7,146,12,15,17,21
Cow,2.2,22,10,15,10,20
Cow,4.8,14,11,12,17,15
Cow,6.8,15,12,9,11,10
Cow,9.3,15,11,13,15,12
Damsel,0,273,10,11,15,24
Damsel,0.8,179,11,12.5,12.5,11
Damsel,2.3,105,9,11,13,11
Damsel,4.9,116,16,10,10,9
Damsel,6.9,41,10,9,11,9
Damsel,9.4,13,11,8,8,12
IMC,2,312,6,1,7,9
IMC,3.5,86,8,8,7,9
IMC,5.7,91,8,7,6,6
IMC,9,14,7,13.5,13,10
IMC,11.5,0,8,13,4,8
IMC,14,0,5.5,13,10,11
Cooda,0,229,6,6,7.5,10
Cooda,0.6,175,7.5,8.5,6.5,6
Cooda,2.1,30,8,10,8,11
Cooda,4.6,0,4,5,5,9
Cooda,7.1,0,4,6,7.5,9
Cooda,9.6,0,6,5,11.5,9
CT15,0.1,240,17,11,11.5,16
CT15,2.2,99,8,8,7,7.5
CT15,2.8,117,4,7,5.5,5
CT15,5,9,4,4,4,3.5
CT15,8.4,9,7.5,5,5,3
CT15,10.4,34,5,4,5.5,3.5
Check5,0.1,178,15,21,21,14
Check5,1.9,204,14,22,18,13
Check5,3.4,115,21,24,26,20.5
Check5,5.4,46,11.5,19.5,21,12
Check5,7.4,54,17,13,14,16
Check5,9.4,8,13.5,19,23.5,20.5
FFA,0.3,185,28.5,19,28,35
FFA,1,215,21,25,23.5,28
FFA,2.5,56,31,24,27,23
FFA,5.1,27,24,26,30,13
FFA,7.5,6,36,38,28,27
FFA,10.1,8,6,21,24,15
Vancouver,0.1,216,18,29,20,16
Vancouver,3.1,248,27.5,27,34,34
Vancouver,4.6,19,21,30,17,19
Vancouver,6.6,15,19.5,18.5,12,17
Vancouver,8.6,0,25.5,32,10,24.5
Vancouver,10.6,0,26,12.5,13,15
78S,0.4,186,22,22,28,27
78S,2.1,124,35,38,36.5,28
78S,3.6,31,21,23,29,39
78S,6.1,15,31,32.5,36,28
78S,8.6,0,31,24,30,30
78S,11.2,3,31,14,24,20.5
Calgary,0.2,197,41,27.5,20,9
Calgary,2.8,179,28,21,28,32.5
Calgary,4.4,72,19,15.5,28,20
Calgary,6.4,19,20,19.5,28,19
Calgary,8.4,0,21,23,38,41
Calgary,10.4,1,35,38.5,36,21.5
119,0,308,18,13,13,12.5
119,3.6,185,15,11,13,15.5
119,5.1,124,10,16,13.5,6
119,7.1,59,11,11,12.5,13.5
119,9.1,46,11.5,15.5,20.5,14
119,11.1,13,14,13,9,10
Check3,0.1,286,15.5,21,17,14
Check3,0.7,238,13,12,18.5,20
Check3,2.2,25,9,13,9,10
Check3,4.2,22,9,10,6.5,7
Check3,6.2,42,13,8,7,7
Check3,8.2,15,8,8.5,6.5,10
71,0.1,299,54,47,53,9
71,6.1,156,24,17.5,16,14
71,7.6,82,13,22,20,14
71,9.6,79,21,19,17,14.5
71,11.6,34,19,19,19.5,17
71,13.6,25,16,16,16.5,17
NF17,0,262,22,20.5,32.5,36.5
NF17,3.3,181,12,14,17.5,18.5
NF17,5,98,14,13,11,17
NF17,7,79,12,15.5,17.5,10.5
NF17,9,44,8,11,19,14
NF17,11,32,12,16,18,12.5
57,0,348,33,33,15,19
57,1.4,207,8.5,17,13,12.5
57,3.7,24,16.5,13.5,13,14
57,5.7,18,9,13,15.5,13
57,7.7,27,15,15,13,11
57,9.7,18,14,14,12,17
Check1,0.2,350,43,38,12,33
Check1,1.7,196,8,17,22,18
Check1,3.2,108,22,10,16,16.5
Check1,5.1,44,15,16,16,13
Check1,7.1,10,13,12,15,20
Check1,9.1,7,13,13,11,15
Josh,0.2,150,20,29,27,28
Josh,3,207,25,18,18,16
Josh,4.5,128,24.5,24.5,14.5,10.5
Josh,6.5,72,13,22,16,19.5
Josh,8.5,25,18.5,20.5,25.5,16.5
Josh,10.5,20,24,24,19,26.5
LS02,0.1,424,17,20,12,15
LS02,1.5,316,13,10.5,9,16
LS02,3,55,14,9,7,9
LS02,5,73,6,9,8.5,16.5
LS02,7,3,5,4,3.5,3
LS02,9,0,3,3,3,2
F5Small,0,174,19.5,22,30,18
F5Small,0.6,170,13,22,21,15
F5Small,2.1,95,22,13.5,22,29
F5Small,4.1,25,17,21,26,26
F5Small,6.1,29,26,26,27,16
F5Small,8.1,23,20,25,22.5,16.5
NF15,0.1,293,10,10,13,12
NF15,5.8,225,13.5,17.5,12,9.5
NF15,7.4,195,9,8,7.5,7
NF15,9.4,55,5,5,4.5,4
NF15,11.4,72,4,3,5,3
NF15,13.4,4,3,3,3,2
85,0.1,380,24,17,27,41
85,1.2,241,20.5,11,16.5,28
85,2.7,122,34,30.5,27,20.5
85,4.7,139,13,10,20,12
85,6.7,91,10,16,36.5,4
85,8.7,59,20,18,10,29
74Tall,0,237,12,10,8,13
74Tall,0.6,210,8,6,4,7
74Tall,2,36,4,4,2.5,6
74Tall,4,0,4,2.5,2,1.5
74Tall,6,0,2,2,2,2
74Tall,8,0,1.5,2,1.5,2
Angel2,0.1,185,15,16,14,20
Angel2,0.8,202,19,13.5,18,19
Angel2,2.3,61,12,14.5,14.5,12.5
Angel2,4.3,36,8.5,11.5,10,11.5
Angel2,6.3,13,8,11,12.5,14
Angel2,8.3,29,9,11.5,9,15
76S,0.5,395,32,25,21,11
76S,2,149,16,17,18,19.5
76S,3.4,151,16,10.5,7.5,16
76S,5,76,16,31,36,19
76S,7,130,16,21,29,24
76S,9,77,27,20,16,24
Biscuit,0.4,373,21,27,29,19
Biscuit,3.9,274,14,10.5,12,22
Biscuit,5.4,15,3,4,5,4
Biscuit,7.5,0,2.5,3,2.5,2
