patch,date,ft_original,dd_original,treatment,ft_final,dd_final
New2,2019-05-21,9,1,natural,9,1
Montreal,2019-05-22,7,0,zero,0,0
94North,2019-05-22,6,3,ft,9,0
94Urchin,2019-05-23,4,2,dd,0,6
Cow,2019-05-24,2,0,dd,0,2
Damsel,2019-05-24,10,2,natural,10,2
E2,2019-05-24,1,3,zero,0,0
E1,2019-05-26,8,5,half,4,2
Cooda,2019-05-26,1,1,dd,0,2
IMC,2019-05-26,11,5,ft,16,0
78S,2019-05-27,12,1,natural,12,1
FFA,2019-05-27,14,0,zero,0,0
Check5,2019-05-27,9,3,half,5,1
CT15,2019-05-28,7,0,zero ,0,0
Vancouver,2019-05-28,3,0,half,1,0
Calgary,2019-05-28,9,0,ft,9,0
119,2019-05-29,5,2,natural,5,2
71,2019-05-29,7,5,ft,12,0
Check3,2019-05-30,3,3,zero,0,0
NF17,2019-05-30,12,6,ft,18,0
57,2019-05-31,4,3,dd,0,7
Josh,2019-05-31,19,1,half,9,1
Check1,2019-05-31,3,1,dd,0,4
Angel2,2019-06-02,5,1,ft,6,0
Biscuit,2019-06-03,10,1,zero,0,0
76S,2019-06-03,13,0,natural,13,0
LS02,2019-06-03,0,1,natural,0,1
NF15,2019-06-04,3,5,dd,0,8
F5Small,2019-06-04,3,0,zero,0,0
Shit'sCreek,2019-06-04,1,6,half,1,3
Lakeisha,2019-06-05,7,2,ft,9,0
96,2019-06-05,2,0,half,1,0
90Stop,2019-06-06,58,3,dd,0,61
74Tall,2019-06-06,21,0,half,11,0
85,2019-06-06,6,1,natural,6,1
